game_id,competition_id_x,season,round,date_x,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_name,away_club_name,aggregate,competition_type,game_event_id,minute,type_y,player_id_y,description,player_in_id,player_assist_id,appearance_id,player_id,date,yellow_cards,red_cards,goals,assists,minutes_played,name,last_season,current_club_id,player_code,country_of_birth,date_of_birth,sub_position,position_y,foot,height_in_cm,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,agent_name
2258990,GB1,2012,23. Matchday,2013-01-21,0,0,15.0,5.0,Mauricio Pochettino,David Moyes,St Mary's Stadium,28359.0,Neil Swarbrick,Southampton FC,Everton Football Club,00:00:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2258990_4267,4267,2013-01-21,0,0,0,0,90,Tim Howard,2015,29,tim-howard,United States,1979-03-06,Goalkeeper,Goalkeeper,right,191.0,4489216.076402706,10000000.0,2024-06-30,Wasserman
2259003,GB1,2012,24. Matchday,2013-01-30,2,1,5.0,9.0,David Moyes,Steve Clarke,Goodison Park,31376.0,Michael Oliver,Everton Football Club,West Bromwich Albion,02:01:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2259003_4267,4267,2013-01-30,0,0,0,0,90,Tim Howard,2015,29,tim-howard,United States,1979-03-06,Goalkeeper,Goalkeeper,right,191.0,4489216.076402706,10000000.0,2024-06-30,Wasserman
2321027,L1,2013,1. Matchday,2013-08-11,3,3,8.0,9.0,Jens Keller,Thorsten Fink,Veltins-Arena,61973.0,Manuel Graofe,FC Schalke 04,Hamburger SV,03:03:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2321027_1321,1321,2013-08-11,0,0,0,0,90,Jermaine Jones,2013,114,jermaine-jones,Germany,1981-11-03,Defensive Midfield,Midfield,both,184.0,4489216.076402706,8000000.0,2024-06-30,Wasserman
2321079,L1,2013,5. Matchday,2013-09-15,1,1,18.0,16.0,Torsten Lieberknecht,Michael Wiesinger,EINTRACHT-Stadion,22570.0,Marco Fritz,Eintracht Braunschweig,1.FC Nuremberg,01:01:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2321079_49723,49723,2013-09-15,0,0,0,1,90,Timothy Chandler,2023,24,timothy-chandler,Germany,1990-03-29,Right-Back,Defender,right,186.0,700000.0,5000000.0,2025-06-30,Wasserman
2321086,L1,2013,6. Matchday,2013-09-21,1,1,15.0,1.0,Michael Wiesinger,Jurgen Klopp,Max-Morlock-Stadion,50000.0,Knut Kircher,1.FC Nuremberg,Borussia Dortmund,01:01:00,domestic_league,314a5f017c26ef2ffcfe7953edf332aa,21.0,Cards,49723.0,"2. Yellow card  , Foul",152762.01347708894,53307.31724137931,2321086_49723,49723,2013-09-21,1,0,0,0,90,Timothy Chandler,2023,24,timothy-chandler,Germany,1990-03-29,Right-Back,Defender,right,186.0,700000.0,5000000.0,2025-06-30,Wasserman
2321152,L1,2013,11. Matchday,2013-11-02,0,2,7.0,6.0,Jos Luhukay,Jens Keller,Olympiastadion Berlin,69277.0,gunter perl,Hertha BSC,FC Schalke 04,00:02:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2321152_1321,1321,2013-11-02,0,0,0,1,10,Jermaine Jones,2013,114,jermaine-jones,Germany,1981-11-03,Defensive Midfield,Midfield,both,184.0,4489216.076402706,8000000.0,2024-06-30,Wasserman
2321330,L1,2013,31. Matchday,2014-04-19,0,0,8.0,10.0,Markus Weinzierl,Jos Luhukay,WWK ARENA,30059.0,Dr. Jochen Drees,FC Augsburg 1907,Hertha BSC,00:00:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2321330_124732,124732,2014-04-19,0,0,0,0,90,John Anthony Brooks,2023,533,john-anthony-brooks,Germany,1993-01-28,Centre-Back,Defender,left,194.0,2000000.0,15000000.0,2024-06-30,ROGON
2331123,FR1,2013,34. Matchday,2014-04-20,2,6,19.0,11.0,Ariel Jacobs,Michel Der Zakarian,Stade du Hainaut,13972.0,Alexandre Castro,Valenciennes FC,Football Club de Nantes,02:06:00,domestic_league,9743ef32dbb99165ad6ef1a225e26b2e,41.0,Goals,111783.0,", Right-footed shot, 5. Goal of the Season Assist: , Pass, 4. Assist of the Season",152762.01347708894,164771.0,2331123_111783,111783,2014-04-20,0,0,1,0,90,Alejandro Bedoya,2015,995,alejandro-bedoya,United States,1987-04-29,Central Midfield,Midfield,right,182.0,300000.0,2500000.0,2023-12-31,YMU Group
2332041,GB1,2013,14. Matchday,2013-12-04,2,3,8.0,10.0,Mauricio Pochettino,Paul Lambert,St Mary's Stadium,29814.0,Jonathan Moss,Southampton FC,Aston Villa Football Club,02:03:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2332041_39471,39471,2013-12-04,0,0,0,0,90,Brad Guzan,2016,641,brad-guzan,United States,1984-09-09,Goalkeeper,Goalkeeper,left,193.0,100000.0,5000000.0,2023-12-31,YMU Group
2332050,GB1,2013,14. Matchday,2013-12-04,3,4,20.0,2.0,Gustavo Poyet,Jose Mourinho,Stadium of Light,40652.0,Phil Dowd,Sunderland AFC,Chelsea Football Club,03:04:00,domestic_league,12f66dd863b98c9c68c0d60fd0890247,90.0,Cards,39378.0,1. Yellow card,152762.01347708894,53307.31724137931,2332050_39378,39378,2013-12-04,1,0,1,0,90,Jozy Altidore,2014,289,jozy-altidore,United States,1989-11-06,Centre-Forward,Attack,right,185.0,500000.0,9000000.0,2024-12-31,Wasserman
